,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl,year
911,6/5/2013 7:42,52.9272921,5.4402232,-14,\N,36.7,5,9.6,2.8,15.5,15.6,-3.06,0.59,-0.65,0.85,0101000020E61000000AC3DBDEC9C215406AABED81B1764A40,0,3.183425828,2.1785408,23.75150496,-12,2013
1313,6/11/2013 14:35,52.9277033,5.4402232,-12,\N,38.1,6,9.3,1.8,11,18.7,-2.55,1.34,2.66,1.02,0101000020E61000000AC3DBDEC9C2154015F252FBBE764A40,0,3.920931012,3.86349509,24.06978265,-9,2013
310,5/27/2013 1:42,52.9284713,5.440224,-16,\N,23,\N,10.6,1.8,11.2,10.6,-3.87,-2.14,-3.52,0.96,0101000020E61000003FA88B14CAC215402663C625D8764A40,0,5.65215888,2.085789735,-57.72151076,-14,2013
1108,6/8/2013 9:25,52.9283905,5.4402253,-5,\N,32.7,7,10.1,2.1,25.9,17.6,-1.38,-1.46,-0.42,1.44,0101000020E6100000B67CC96BCAC2154063B5F97FD5764A40,0,2.052413214,1.630391014,-54.21433058,-3,2013
737,6/2/2013 17:51,52.9291536,5.4402278,-6,\N,15.2,\N,8.4,2.2,6.9,9.8,-0.23,-0.23,-0.41,0.51,0101000020E6100000FD288F13CBC21540F77A5281EE764A40,0,0.523354564,0.212436832,-102.7991668,-4,2013
322,5/27/2013 5:27,52.929067,5.4402282,-3,\N,23.5,\N,9,5,22.2,17.6,-1.54,-0.44,0.01,1.15,0101000020E6100000981B672ECBC215407C65DEAAEB764A40,0,1.601655394,1.295858452,-13.02314972,-1,2013
222,5/25/2013 16:43,52.9277712,5.4402286,-2,\N,24,\N,8.1,3.9,16.4,28.3,-0.33,-0.43,-2.09,1.25,0101000020E6100000330E3F49CBC21540D915E934C1764A40,0,2.159143349,1.043624202,-157.6544746,1,2013
925,6/5/2013 12:57,52.928662,5.4402292,-8,\N,40.9,4,12.6,2.6,23.3,15.9,0.65,1,-1.54,2.19,0101000020E61000001BFA8271CBC21540DC847B65DE764A40,0,1.947844963,1.784182551,148.4382846,-6,2013
1725,6/18/2013 5:27,52.9277282,5.4402299,-11,\N,28.3,8,7.9,3.1,8,14.6,-1.01,0.25,-2.12,0.87,0101000020E6100000AAE27CA0CBC21540D94933CCBF764A40,0,2.361567276,0.602882012,145.1355842,-8,2013
1929,6/21/2013 5:04,52.9268072,5.4402324,-3,\N,26.8,7,8.6,3.1,6.3,13.4,-0.54,0.46,-0.96,0.79,0101000020E6100000F18E4248CCC2154042D94A9EA1764A40,0,1.193649865,0.541560915,109.930851,-1,2013
910,6/5/2013 7:27,52.9273735,5.4402347,-7,\N,34.6,7,7.5,1.8,11.7,11,-1.49,0.55,-1.26,0.75,0101000020E6100000EB419CE2CCC21540AAD6C22CB4764A40,0,2.027362819,0.787772324,60.96767609,-5,2013
1086,6/8/2013 3:04,52.9277483,5.4402368,-15,\N,20.6,4,25.4,7.6,75,43.9,-1.98,-1.55,0.36,3.27,0101000020E610000097FB896FCDC21540B5B5CF74C0764A40,0,2.540177159,2.339501994,-35.40210443,-12,2013
