"","x","y","t","date_time"
"1154",663727.616289514,5866529.27170527,1372168679,2013-06-25 09:57:59
"1155",663746.786015325,5866516.61702254,1372170471,2013-06-25 10:27:51
"1156",663691.456755479,5866566.10109271,1372174103,2013-06-25 11:28:23
"1157",663694.833863374,5866439.78803764,1372179527,2013-06-25 12:58:47
"1158",663668.333690812,5866500.51621429,1372181369,2013-06-25 13:29:29
"1159",663664.107260033,5866508.07206778,1372182733,2013-06-25 13:52:13
"1160",663704.815202065,5866530.06235911,1372185482,2013-06-25 14:38:02
"1161",663759.858115526,5866489.52606159,1372188645,2013-06-25 15:30:45
"1162",663752.95559881,5866503.95539561,1372190435,2013-06-25 16:00:35
"1163",663755.616412266,5866492.96727427,1372192373,2013-06-25 16:32:53
"1164",663761.371654682,5866486.1703985,1372194163,2013-06-25 17:02:43
"1165",663699.513860757,5866834.72850569,1372197788,2013-06-25 18:03:08
"1166",663695.997435233,5866842.78161497,1372199602,2013-06-25 18:33:22
"1167",663696.249681473,5866844.27100969,1372201410,2013-06-25 19:03:30
"1168",663696.981548844,5866843.12676301,1372203203,2013-06-25 19:33:23
"1169",663695.113809739,5866841.2596622,1372205016,2013-06-25 20:03:36
"1170",663695.868481254,5866840.03825042,1372206808,2013-06-25 20:33:28
"1171",663693.09901883,5866838.17395552,1372208607,2013-06-25 21:03:27
"1172",663698.086602611,5866833.16583727,1372210428,2013-06-25 21:33:48
"1173",663703.083932093,5866832.2331356,1372212278,2013-06-25 22:04:38
"1174",663702.726918429,5866833.43463798,1372214225,2013-06-25 22:37:05
"1175",663765.166940455,5866480.21999898,1372217093,2013-06-25 23:24:53
"1176",663753.839824446,5866500.90126051,1372218008,2013-06-25 23:40:08
"1177",663762.159074938,5866476.74983978,1372220095.5,2013-06-26 00:14:55
"1178",663898.191527086,5866416.30673331,1372222352,2013-06-26 00:52:32
"1179",663881.199763973,5866418.70237304,1372223247,2013-06-26 01:07:27
"1180",663764.955934661,5866432.31393264,1372225039,2013-06-26 01:37:19
"1181",663883.511292088,5866346.48708195,1372227775,2013-06-26 02:22:55
"1182",663966.945364809,5866375.06378115,1372229566,2013-06-26 02:52:46
"1183",663957.215209787,5866398.02571625,1372230463,2013-06-26 03:07:43
"1184",663960.058293924,5866357.72772834,1372232255,2013-06-26 03:37:35
"1185",663957.783169263,5866339.82468633,1372233630,2013-06-26 04:00:30
"1186",663947.477288371,5866330.91235557,1372234990,2013-06-26 04:23:10
"1187",663957.206053063,5866342.54965137,1372236421,2013-06-26 04:47:01
"1188",663831.47774971,5866353.90565504,1372240655,2013-06-26 05:57:35
"1189",663747.999349422,5866325.21851092,1372242975,2013-06-26 06:36:15
"1190",663694.219922507,5866272.728027,1372247185.5,2013-06-26 07:46:25
"1191",663677.868528243,5866303.94442978,1372248684,2013-06-26 08:11:24
"1192",663822.90318351,5866392.79543645,1372255772,2013-06-26 10:09:32
"1193",663846.604498132,5866338.66454049,1372259352,2013-06-26 11:09:12
"1194",663868.80103752,5866351.44317775,1372260279,2013-06-26 11:24:39
"1195",663896.377248157,5866413.06074645,1372266494,2013-06-26 13:08:14
"1196",663872.806357819,5866361.11001053,1372268298,2013-06-26 13:38:18
