"","x","y","t","date_time","year"
"221",663098.006269648,5866706.28835967,1369852328,2013-05-29 14:32:08,"2013"
"222",663097.295309701,5866709.60453202,1369854176,2013-05-29 15:02:56,"2013"
"223",663129.911567766,5866730.62606727,1369855391,2013-05-29 15:23:11,"2013"
"224",663094.509119339,5866712.6056,1369857253,2013-05-29 15:54:13,"2013"
"225",663102.152826476,5866699.67018952,1369859102,2013-05-29 16:25:02,"2013"
"226",663387.069685551,5866777.44027355,1369862702,2013-05-29 17:25:02,"2013"
"227",663394.432099384,5866778.79189745,1369864525,2013-05-29 17:55:25,"2013"
"228",664000.917901824,5867337.67354517,1369868129,2013-05-29 18:55:29,"2013"
"229",663998.399279561,5867337.74378868,1369869965,2013-05-29 19:26:05,"2013"
"230",663993.950039267,5867330.08809949,1369871773,2013-05-29 19:56:13,"2013"
"231",663999.120588221,5867335.12952021,1369873569,2013-05-29 20:26:09,"2013"
"232",663993.733310443,5867330.52609679,1369875374,2013-05-29 20:56:14,"2013"
"233",663992.249757968,5867330.23070609,1369877199,2013-05-29 21:26:39,"2013"
"234",664183.947759307,5866966.32943312,1369880780,2013-05-29 22:26:20,"2013"
"235",663982.291114983,5867355.6008779,1369884363,2013-05-29 23:26:03,"2013"
"236",663092.384780809,5866714.73832176,1369889829,2013-05-30 00:57:09,"2013"
"237",663103.71302909,5866692.53035578,1369891630,2013-05-30 01:27:10,"2013"
"238",663107.333022561,5866705.46800526,1369893418,2013-05-30 01:56:58,"2013"
"239",663074.221663289,5866670.02247818,1369895290,2013-05-30 02:28:10,"2013"
"240",663084.307624972,5866734.12796101,1369898939,2013-05-30 03:28:59,"2013"
"241",664251.631922223,5866992.72786272,1369904376,2013-05-30 04:59:36,"2013"
"242",664236.03138355,5866988.50016144,1369906169,2013-05-30 05:29:29,"2013"
"243",664271.379337161,5867008.94359023,1369911596,2013-05-30 06:59:56,"2013"
"244",664318.946232028,5867039.44569749,1369913403,2013-05-30 07:30:03,"2013"
"245",664312.82134532,5867028.24763039,1369915208,2013-05-30 08:00:08,"2013"
"246",664311.7575033,5867028.46748005,1369917032,2013-05-30 08:30:32,"2013"
"247",661040.364916543,5874400.84781526,1369926086,2013-05-30 11:01:26,"2013"
