"","X","x","y","t","date_time","year"
"311",311,663027.410439803,5866139.8699842,1368457673.5,2013-05-13 11:07:53,"2013"
"312",312,663027.52055564,5866139.20009697,1368459158,2013-05-13 11:32:38,"2013"
"313",313,663027.705654219,5866138.00387824,1368460529,2013-05-13 11:55:29,"2013"
"314",314,663025.343452551,5866139.10427404,1368461993,2013-05-13 12:19:53,"2013"
"315",315,662888.433373398,5866112.41712094,1368463648.5,2013-05-13 12:47:28,"2013"
"316",316,662892.905933866,5866123.51598239,1368465017,2013-05-13 13:10:17,"2013"
"317",317,663147.465617642,5866271.57363172,1368466856,2013-05-13 13:40:56,"2013"
"318",318,662893.423293146,5866143.27794197,1368468160.5,2013-05-13 14:02:40,"2013"
"319",319,662887.246293607,5866104.29993773,1368469703,2013-05-13 14:28:23,"2013"
"320",320,662897.430639345,5866141.28662836,1368470919,2013-05-13 14:48:39,"2013"
